	Unnamed: 0	tweet_textual_content	len	ID	Date	Source	Likes	RTs	polarity
11	11	rt mib that was awesome mibinternational	118	1140619821861625857	Mon Jun 17 13:58:51 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	127	1
12	12	mib dp x me	36	1140619830308945920	Mon Jun 17 13:58:53 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	-1
13	13	men in black international takes box office top spot boxoffice	115	1140620524923392002	Mon Jun 17 14:01:39 +0000 2019	"<a href=""http://www.nextscripts.com"" rel=""nofollow"">FPNextScripts</a>"	0	0	1
14	14	mib	67	1140619992141971456	Mon Jun 17 13:59:32 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
15	15	mib	53	1140620264356507650	Mon Jun 17 14:00:37 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
16	16	mib toyota lexus	140	1140620188221444096	Mon Jun 17 14:00:19 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
17	17	mib	52	1140619596069666818	Mon Jun 17 13:57:58 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	7	0	2
18	18	men in black is so good	23	1140620307046100992	Mon Jun 17 14:00:47 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	1
19	19	mib l gondolod	25	1140620124816363520	Mon Jun 17 14:00:04 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
20	20	rt	140	1140620427313631239	Mon Jun 17 14:01:16 +0000 2019	"<a href=""http://d.hatena.ne.jp/ABS104a/"" rel=""nofollow"">Biyon Lite Ver</a>"	0	82	2
21	21	rt mib	58	1140619344780468224	Mon Jun 17 13:56:58 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	838	2
22	22	rt mib	140	1140619783496323072	Mon Jun 17 13:58:42 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4300	2
23	23	i am in love with the double fine les twins they were phenomenal in mib international super talented and out of	140	1140619614445088769	Mon Jun 17 13:58:02 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	1
24	24	mib	32	1140620064946737152	Mon Jun 17 13:59:49 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
25	25	rt what does it take to suit up for men in black international chris hemsworth trainer amp centr expert luke zocchi reveals c	144	1140620234887290884	Mon Jun 17 14:00:30 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	26	0
26	26	men in black international takes box office top spot boxoffice	115	1140620517600219141	Mon Jun 17 14:01:37 +0000 2019	"<a href=""http://www.nextscripts.com"" rel=""nofollow"">ChrisNextScripts</a>"	1	0	1
27	27	inasoft mib	97	1140620364529094657	Mon Jun 17 14:01:01 +0000 2019	"<a href=""http://www.inasoft.org/"" rel=""nofollow"">ecort</a>"	0	0	2
28	28	d mib	125	1140619790572068864	Mon Jun 17 13:58:44 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
29	29	rt mib	58	1140619395787456513	Mon Jun 17 13:57:10 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	838	2
30	30	rt mib	111	1140619844418756609	Mon Jun 17 13:58:57 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	1	2
31	31	mib i h t	53	1140620168827031554	Mon Jun 17 14:00:14 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0	2
32	32	spider man lion king and men in black we re going together sis pls	88	1140620760685432833	Mon Jun 17 14:02:35 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0	2
33	33	mib	40	1140620190339620865	Mon Jun 17 14:00:19 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
34	34	rt box office men in black international shaft add to summer sequel slump	140	1140619516667453442	Mon Jun 17 13:57:39 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2	-1
35	35	mib international amc veterans in tampa fl	89	1140619676969512961	Mon Jun 17 13:58:17 +0000 2019	"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>"	0	0	0
36	36	what if everyone was an mib agent mibinternational what if everyone was a cop shaft podcast	131	1140619857387491329	Mon Jun 17 13:59:00 +0000 2019	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0	0	0
37	37	rt mib	140	1140620241463939074	Mon Jun 17 14:00:31 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	4300	2
38	38	rt mib	133	1140619874814824448	Mon Jun 17 13:59:04 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	125	2
39	39	box office men in black international wins a weak weekend of underperforming sequels via	131	1140620250414628864	Mon Jun 17 14:00:34 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0	-1
40	40	sinopsis film men in black international berburu alien dengan rasa baru	120	1140620110400372737	Mon Jun 17 14:00:00 +0000 2019	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	1	0	2
41	41	rt mib ht	140	1140619738294280192	Mon Jun 17 13:58:31 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	2308	2
42	42	rt mib	45	1140620376768073734	Mon Jun 17 14:01:04 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1510	2
43	43	rt les miracles a existe chez nous parasite fait plus d entr es que men in black chaque ance depuis mercredi	140	1140619342809305088	Mon Jun 17 13:56:57 +0000 2019	"<a href=""https://play.google.com/store/apps/details?id=com.arthurivanets.owly"" rel=""nofollow"">Оwly</a>"	0	364	2
44	44	rt mib that was awesome mibinternational	118	1140620593722617861	Mon Jun 17 14:01:55 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	127	1
45	45	i ve got a list of movies mib will have to wait aftr aladdin dark phoenix lion king mib	102	1140620037457207296	Mon Jun 17 13:59:43 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	0
46	46	rt mib	45	1140620323563302914	Mon Jun 17 14:00:51 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	1510	2
47	47	hindi ko tuloy napatapos yung mib	35	1140619610112135168	Mon Jun 17 13:58:01 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0	2
48	48	mib	7	1140619393111449605	Mon Jun 17 13:57:09 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	2	0	2
49	49	mib	140	1140620445621686272	Mon Jun 17 14:01:20 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
50	50	mib	5	1140619691045474306	Mon Jun 17 13:58:20 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0	2
51	51	rt mib mib utapri	140	1140620583643701250	Mon Jun 17 14:01:53 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	118	2
52	52	mib	76	1140620742570074113	Mon Jun 17 14:02:31 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
53	53	rt celebrate fathersday with mib no suit needed see it in theaters now	114	1140620032956936192	Mon Jun 17 13:59:42 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	113	0
54	54	rt mib meninblackinternational mibinternational	126	1140619785618644992	Mon Jun 17 13:58:43 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	50	2
55	55	the mib trailer was absolutely terrible i m not surprised to hear people aren t enjoying the movie i don t think t	140	1140619374933528576	Mon Jun 17 13:57:05 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	1
56	56	mib	9	1140619682157752321	Mon Jun 17 13:58:18 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
57	57	mib	11	1140620186644443136	Mon Jun 17 14:00:18 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0	2
58	58	so basically tessa thompson in her mib suit carrying dragonfang	88	1140619945266438144	Mon Jun 17 13:59:21 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	0
59	59	rt mib mibinternational	127	1140619345569054720	Mon Jun 17 13:56:58 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	650	2
60	60	mib	52	1140620210543575040	Mon Jun 17 14:00:24 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
61	61	mib	28	1140619997263216641	Mon Jun 17 13:59:33 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
62	62	attn not every movie needs a sequel or remake of course i have not seen a mib movie since mib	125	1140619394051014657	Mon Jun 17 13:57:09 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0	-1
63	63	seryoso ba yung les twins nasa men in black mib movie myghaaad gusto ko mapanuod	85	1140620674119004162	Mon Jun 17 14:02:15 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
64	64	boxoffice men in black takes the top spot in another disappointing weekend darkphoenix meninblack	128	1140620475611136002	Mon Jun 17 14:01:27 +0000 2019	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	1	1	0
65	65	qentro qentro mib	140	1140620699947556864	Mon Jun 17 14:02:21 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
66	66	mib f kawaii	99	1140619996621500417	Mon Jun 17 13:59:33 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0	1
67	67	mib f	140	1140619587148382210	Mon Jun 17 13:57:55 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
68	68	rt sf mibinternational mib	140	1140620027210547202	Mon Jun 17 13:59:40 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	310	2
69	69	rt box office report what india vs pakistan meant for gameover mibinternational ticket sales https	140	1140619383728828417	Mon Jun 17 13:57:07 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	3	2
70	70	mib dx	104	1140619297884008448	Mon Jun 17 13:56:46 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
71	71	rt box office report what india vs pakistan meant for gameover mibinternational ticket sales https	140	1140620251421265922	Mon Jun 17 14:00:34 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	3	-1
72	72	rt men in black mib	140	1140619634812395522	Mon Jun 17 13:58:07 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	1820	2
73	73	mib	88	1140619980041383941	Mon Jun 17 13:59:29 +0000 2019	"<a href=""http://fusetter.com/"" rel=""nofollow"">fusetter</a>"	0	0	2
74	74	rt mib xh	52	1140620710261379072	Mon Jun 17 14:02:23 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	131	2
75	75	mib mib	140	1140619400455737344	Mon Jun 17 13:57:11 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
76	76	bilheteria novo mib homens de preto fracassa aladdin segue fazendo sucesso minhaserie	136	1140620199529525251	Mon Jun 17 14:00:21 +0000 2019	"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>"	7	0	2
77	77	it been years since the first men in black film	52	1140619767323041797	Mon Jun 17 13:58:38 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	0
78	78	mib mib	75	1140620299412525056	Mon Jun 17 14:00:45 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0	2
79	79	rt fab vintage jewelry camrose amp kross pendant mib jolie gabor ring rubylane vintage retro designer hautecouture	144	1140620023075135491	Mon Jun 17 13:59:39 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	81	2
80	80	durante uma entrevista na premiere de mib homens de preto internacional hemsworth falou que quando soube que e	140	1140620539154915329	Mon Jun 17 14:01:42 +0000 2019	"<a href=""https://www.facebook.com/socialmlabs/"" rel=""nofollow"">mLabs - Gestão de Redes Sociais</a>"	17	4	2
81	81	from pawny to steve mib	25	1140620224208592896	Mon Jun 17 14:00:27 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
82	82	box office what india vs pakistan meant for game over mib sales	93	1140620123318996992	Mon Jun 17 14:00:03 +0000 2019	"<a href=""https://www.ndtv.com"" rel=""nofollow"">NDTVfeed</a>"	1	1	2
83	83	rt men in black and the battle between nostalgia and fatigue	103	1140620156583833600	Mon Jun 17 14:00:11 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4	-1
84	84	mib m mib	140	1140620661867499520	Mon Jun 17 14:02:12 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	6	0	2
85	85	mib	29	1140620490953728001	Mon Jun 17 14:01:31 +0000 2019	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	6	4	2
86	86	men in black	26	1140620090423091200	Mon Jun 17 13:59:55 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
87	87	mib	34	1140619742085959680	Mon Jun 17 13:58:32 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
88	88	mib	52	1140619926660452352	Mon Jun 17 13:59:16 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0	2
89	89	rt mib	58	1140619543242350592	Mon Jun 17 13:57:45 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	838	2
90	90	rt	140	1140619723668725760	Mon Jun 17 13:58:28 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	82	2
91	91	mib	140	1140620226842619906	Mon Jun 17 14:00:28 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
92	92	datos men in black international se estrella con el peor estreno de toda la saga otro fracaso en taquilla del ac	140	1140619747337363457	Mon Jun 17 13:58:34 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0	2
93	93	gyao mib gyao mib	39	1140620293360115714	Mon Jun 17 14:00:44 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0	2
94	94	mib boxoffice indianfans meninblackinternational thor avengers	127	1140619867202002944	Mon Jun 17 13:59:02 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0	2
95	95	mib bd	61	1140619470592868357	Mon Jun 17 13:57:28 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
96	96	mib	58	1140620642791776256	Mon Jun 17 14:02:07 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
97	97	rt mib mibinternational	127	1140620419671531520	Mon Jun 17 14:01:14 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	650	2
98	98	this week podcast features mibinternational rocketman iammother blackmirror agentsofshield comics an	140	1140620109456793605	Mon Jun 17 14:00:00 +0000 2019	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	1	0	0
99	99	mib	44	1140621809756196864	Mon Jun 17 14:06:45 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
100	100	men in black was low key doo doo	42	1140621798008074240	Mon Jun 17 14:06:43 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	-1
101	101	a thumb era para o batman e nao para mib kkkkk	66	1140622115638525958	Mon Jun 17 14:07:58 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	3	0	2
102	102	rt mib	97	1140621702554161152	Mon Jun 17 14:06:20 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	50	2
103	103	rt mib mib utapri	140	1140621955105619969	Mon Jun 17 14:07:20 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	118	2
104	104	mib	55	1140621884494454784	Mon Jun 17 14:07:03 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0	2
105	105	rt extremely great article and interview of one of my favorite characters in a movie ever edgar from mib vincents saying h	140	1140621174692548608	Mon Jun 17 14:04:14 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	58	1
106	106	right place right time mib	28	1140621210700541952	Mon Jun 17 14:04:23 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	1
107	107	box office report men in black international claims soft dark phoenix falls hard	140	1140621746359472129	Mon Jun 17 14:06:30 +0000 2019	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0	0	0
108	108	kaya pala sabi sa vlog ni boss pao na kung may hilig ka sa pagssayaw magandang panuorin mib kase may part daw don na sayaw	123	1140620988087824388	Mon Jun 17 14:03:29 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
109	109	san o pa ko kalantaw mib pwede kaya sa saturday	56	1140620798744379392	Mon Jun 17 14:02:44 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
110	110	rt	140	1140621984851623937	Mon Jun 17 14:07:27 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	82	2
111	111	rt	140	1140621347933974530	Mon Jun 17 14:04:55 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	82	2
112	112	i drank the mib black cherry icee and it turned me green	56	1140621548803375105	Mon Jun 17 14:05:43 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
113	113	mib dx	68	1140621379424808961	Mon Jun 17 14:05:03 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	1	0	2
114	114	ww mib	72	1140621571481952256	Mon Jun 17 14:05:49 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0	2
115	115	it is been a shitty year for movies so far dark phoenix hellboy men in black dead do not die were all terrible b	140	1140620955401838592	Mon Jun 17 14:03:22 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	3	0	-1
116	116	rt start your summer with mib see chris hemsworth and tessa thompson back together in theaters now	140	1140622020926988290	Mon Jun 17 14:07:36 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	59	0
117	117	rt mib	77	1140621786582671360	Mon Jun 17 14:06:40 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	49	2
118	118	rt mib	140	1140621234448678912	Mon Jun 17 14:04:28 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4300	2
119	119	rt mib	45	1140621571381452803	Mon Jun 17 14:05:48 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1510	2
120	120	rt mib	45	1140621207416365057	Mon Jun 17 14:04:22 +0000 2019	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	0	1510	2
121	121	rt we are mib twitter	140	1140621981106130945	Mon Jun 17 14:07:26 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	462	2
122	122	rt mib that was awesome mibinternational	118	1140621502343024640	Mon Jun 17 14:05:32 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	127	1
123	123	rt i want to watch mib amp toy story in one day with my fave person	85	1140621837979623426	Mon Jun 17 14:06:52 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	1	1
124	124	rt mib ht	140	1140620808571650048	Mon Jun 17 14:02:47 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	2308	2
125	125	rt mib peakpeemapol	84	1140621427038535686	Mon Jun 17 14:05:14 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	52	2
126	126	rt new episode men in black moviepodsquad podernfamily blackpodcast cas	140	1140621792710672384	Mon Jun 17 14:06:41 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	9	2
127	127	mib	137	1140621867566288897	Mon Jun 17 14:06:59 +0000 2019	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0	0	2
128	128	mib i	29	1140621624875470849	Mon Jun 17 14:06:01 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0	2
129	129	agora na melody will smith men in black	47	1140622028048932864	Mon Jun 17 14:07:37 +0000 2019	"<a href=""http://bdcast.com/hierarchy/secondary.php?maj=102&sec=209"" rel=""nofollow"">TRE - The Radio Experience</a>"	0	0	0
130	130	men in black international leads box office with muted million variety	103	1140620996153679873	Mon Jun 17 14:03:31 +0000 2019	"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>"	0	0	0
131	131	mib amazon mib	58	1140621000523964418	Mon Jun 17 14:03:32 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
132	132	mcu mib	53	1140621140664078336	Mon Jun 17 14:04:06 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
133	133	mib ffh	62	1140621450631495682	Mon Jun 17 14:05:20 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0	2
134	134	rt men in black mib	140	1140621545569583104	Mon Jun 17 14:05:42 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	1820	2
135	135	rt men in black mib	140	1140621971782115328	Mon Jun 17 14:07:24 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	1820	2
136	136	mib	29	1140622091089133572	Mon Jun 17 14:07:52 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
137	137	mib mib filmarks	114	1140620827307565056	Mon Jun 17 14:02:51 +0000 2019	"<a href=""https://filmarks.com/"" rel=""nofollow"">Filmarks</a>"	0	0	2
138	138	the barajas weekend box office report men in black international million weekend domestic t	140	1140621988274352130	Mon Jun 17 14:07:28 +0000 2019	"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"	0	0	0
139	139	mib	65	1140621311439360002	Mon Jun 17 14:04:47 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	2	0	2
