,Text,Polarity
46,this is exactly how i feel x men are my favorite characters of all time it been forever sinc,1
47,dark phoenix did not really understand who the x men are,0
48,there only like non valid x men so i ll give you that one,0
49,the x men cast when they announce another spinoff movie,0
50,this presents a profound lack of understanding regarding literally anyone and anything the x men have ever represen,0
51,am i wrong or does look like the senator from x men who starts melting after he was turned into a mutant,0
52,but they beat magneto in x men iii without professor x,0
53,mixed emotions after watching x men dark phoenix,0
54,uncanny x men from may cover art by andy kubert,0
56,my dream team aka the fabulous x men,1
57,marvel legends x men jubilee build a figure caliban baf torso brand new,0
58,the release of darkpheonix marks the end of an era for x men so we wanted to celebrate by asking which x men a,1
60,marvel legends x men jubilee build a figure caliban baf torso brand new,0
62,i don t even go here but x men comics are fucking wild,1
63,x men vs warhawk my st ever comic now signed in gold by stan lee r i p amp chris claremont,0
64,all the x men shirts are so good artist killed it,0
66,x men dark phoenix may have fallen but the unnamed screenplay on the beast may save the day it features his full,0
67,would it kill anyone at marvel studios to dig up some of us old pros who know what to do with the x men besides tur,-1
68,this is embarrassing for x men tbh,0
70,there were so many problems with x men dark phoenix but the biggest problem by far was that someone on the writin,-1
71,the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will,0
72,the best scene in dark phoenix by the best character in the new x men timeline first class onwards,1
74,omnishambles childhood nostalgia is blinding it some people x men cartoon,0
76,say whatever you want but the dark tower and the last two x men films were good you guys are just mean,1
78,childhood nostalgia is blinding it some people x men cartoon,0
79,spoiler alert the new x men movie doesn t have a super cool quicksilver montage such a shame,-1
80,the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will,0
81,i am watching x men the animated series x red dawn trakt,0
84,secret wars ii x men crossovers i fell in love with rachel,1
85,the best scene in dark phoenix by the best character in the new x men timeline first class onwards,1
86,is not it weird that the x men movies went through all that trouble to reboot the x universe and then they didnt change an,0
87,they really need to open the franchise some poc x men are still waiting for their story to be told i was truly b,-1
89,the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will,0
90,giant size x men featured the first appearances of nightcrawler storm colossus and thunderbird,0
92,as an x men fan pretty damn offensive,-1
93,it is ridiculous that they are bringing back hunger games people who just saw x men men in black and the latest,0
94,he was forming the water from the nearby lake into a large dragon and he turns around to see the x men leader oh hey cyke,0
95,absolutely nail on the head there fella i thought apocalypse was the worst x men,-1
96,the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will,0
97,pretty much always yes exception was x men first class simply because there was no time to go through,0
98,the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will,0
100,the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will,0
102,dark phoenix the x men movie about jean grey lol,0
103,the x men after going to war with the avengers,0
104,early script released for unmade john carpenter inspired spinoff x men fear the beast,0
105,can t fucking wait to talk about x men tonight jesus fucking christ,0
106,there was an x men beast spinoff movie written called x men fear the beast and here are the details,0
107,i probably need to do some more research on the x men universe bc dark phoenix annoyed me,-1
109,he makes a lot of jokes these days but on this subject he is absolutely serious if you are a fan of x men the anima,0
110,dark phoenix did not really understand who the x men are,0
111,ready dark phoenix has the best action in all of the main x men films,1
