,Text,Polarity
243,a whole new world end title from aladdin from aladdin,0
244,bts music chart boywithluv b melon flo olleh genie,0
245,we just saw aladdin for the second time and i loved it just as much as watching it the first time,1
246,who voiced the carpet in aladdin,0
248,yesung the rd mini album pinkmagic melon,0
249,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
250,a whole new world ost aladdin dangdut version via,0
251,yesung the rd mini album pinkmagic melon,0
252,one of the most inspirational father amp son scenes from will smith and jaden smith,1
253,yesung the rd mini album pinkmagic melon,0
254,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
255,aladdin risk his life only for princess jasmine jafar,0
256,a whole new world ost aladdin dangdut version via,0
257,yesung the rd mini album pinkmagic melon,0
258,aladdin was actually pretty good,1
259,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
260,maybe i did not fail my spanish oral exam i am going to see aladdin for the rd time and there another pro tour i,0
261,yesung the rd mini album pinkmagic melon,0
262,when aladdin said sometimes you just have to take a risk i did that,0
263,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
264,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
267,yesung the rd mini album pinkmagic melon,0
268,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
269,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
270,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
271,yesung the rd mini album pinkmagic melon,0
274,this week i am doing things that make me happy saw aladdin in theatres going to sewing and dressmaking classes the,1
278,aladdin risk his life only for princess jasmine jafar,0
281,where will smith or biggy or tupac or swv or boys ii men or new edition or bobby brown omg there is so much more,0
282,when aladdin said sometimes you just have to take a risk i did that,0
284,when aladdin said sometimes you just have to take a risk i did that,0
287,a whole new world ost aladdin dangdut version via,0
288,the song speechless from the movie aladdin could have been the perfect solo number for tina cohen chang if glee w,1
290,this week i am doing things that make me happy saw aladdin in theatres going to sewing and dressmaking classes then sa,1
293,a bunch of movie reviews going up this week john wick i got u bby dark phoenix alrighty then aladdin heck ye,0
294,aladdin risk his life only for princess jasmine jafar,0
295,one of the most inspirational father amp son scenes from will smith and jaden smith,1
296,lay honey melon music,0
297,aladdin and jasmine tryna get abu back,0
298,will smith,0
299,yesung the rd mini album pinkmagic melon,0
301,one of the most inspirational father amp son scenes from will smith and jaden smith,1
302,the one thing stopping me from watching alaadin is actually the genie although i got nothing against will smith,-1
303,when aladdin said sometimes you just have to take a risk i did that,0
304,answer to are increased troops in the middle east a sure sign we are headed for war with iran by will smith,0
311,still massively in love with the maccosmeticsaustralia aladdin collection and the movie as well a lot of the son,0
315,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,0
321,one of the most inspirational father amp son scenes from will smith and jaden smith,1
322,this live action aladdin is basically hitch disney edition,0
323,yesung the rd mini album pinkmagic melon,0
324,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
327,oh yeah they are coming hard but the genie has escaped it will be,0
330,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
331,aladdin risk his life only for princess jasmine jafar,0
335,aladdin risk his life only for princess jasmine jafar,0
337,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
340,nice aladdin whoa,1
342,will smith is for knocking down save opportunities and none came tougher than this he closes out tyler beede first,1
343,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
348,when aladdin said sometimes you just have to take a risk i did that,1
349,i already saw aladdin but i wanna see it again bc i just loved every second of it,1
353,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
